Producto;cantidad ;Precio de venta;Costo
Crema de Leche Nestle x 90;12;1800;1784
Crema de Leche Nestle x 186;10;4500;4460
Crema de Leche Nestle x 295;11;5500;5452
Lechera Nestlé x 395;14;6800;6740
Lechera Nestlé x 100;17;1500;1487
Lechera Nestlé x 300;10;5600;5551
Leche Condensada Colombina  x 100;12;1500;1487
Leche Condensada Colombina  x 300;6;5000;4956
Leche Condensada Colombina  x 400;3;5800;5749
Leche Condensada Vaquita   x 390;11;2800;2775
Leche Condensada Vaquita   x 1000;6;6000;5947
Batilado x 82;24;2600;2577
Batricrema x 50;17;1900;1883
Crema Chantilly Royal x 100;15;2900;2874
Crema Chantilly Corona x 80;8;2900;2874
Polvo Royal x20;60;1200;1189
Polvo Royal x 100;1;4700;4659
Maizena Pancakes x 120;1;1700;1685
Pancakes x 30;1;4000;3965
Doña Torta x 500;9;5900;5848
Miel para Pancakes x 340;1;10700;10606
Carve caja x 165;4;2400;2379
Carve x 200;2;2600;2577
Carve x 330;3;4000;3965
Carve x 200;7;1400;1388
Concentrados el Fortin x 500;18;2100;2082
Pasta lazaña x500;3;7600;7533
Pasta lazaña x 200;5;3800;3767
Canelones x 250;3;4800;4758
Ricmpleto x 65;10;2000;1982
Sopera x 44;120;1100;1090
Sopera x 85;31;1900;1883
Ajinomen x 80;9;1200;1189
Salsas Maggi x 250;46;2500;2478
Sopas Maggi x x 70;88;3200;3172
Bases Maggi x 50 ;36;2600;2577
Avena Don Pancho x 250;10;2200;2181
Avena La Abuela x 180;12;4300;4262
Avena Quaker  Molida x 350;4;4950;4906
Avena Quaker Hojuelas x 350;5;4950;4906
Avena Quaker Hojuelas x 220;11;1650;1635
Frescavena x 180;3;3200;3172
Avena en hojuelas la abuela x 180;15;1500;1487
Avena Imperial x 200;26;800;793
Avena Toning Hojuelas x1000;9;6000;5947
Avena Toning Hojuelas x200;14;1300;1289
Avena Toning Molina ;16;1300;1289
Avena la Abuela x 500;12;2600;2577
Avena la Abuela Sabor ;20;1200;1189
Avena Toning Molina x 200;9;1300;1289
Avena Toning Molina x 180;4;2800;2775
Colada Toning  x 200;18;2200;2181
Colada Toning  x 90;28;900;892
Fécula Platano x 100;36;950;942
Fécula Platano x 200;12;1700;1685
Almidón de Yuca x 500;3;2500;2478
Maizena a Granel x 500;10;1500;1487
Claro Compadre x 300;18;750;743
Azúcar pulverizada x 500;10;1500;1487
Natilla Maizena x 300;6;5500;5452
Natilla La Abuela x 300;6;4500;4460
Buñuelo La Abuela x 300;6;4500;4460
Buñuelo Colmaiz x 1000;14;3800;3767
Buñuelo La Comarca x 1000;10;3500;3469
Natilla La Comarca x 1000;16;4200;4163
Buñuelo La Comarca x 1000;15;3500;3469
Buñuelo Mao x 1000;11;3500;3469
Empanada Mao x 100;15;3000;2974
Natilla Comarca ;18;4200;4163
Natilla Mao x 100;26;4200;4163
Colada Maizena x 30;75;950;942
Maizena caja x 90;8;1700;1685
Maizena caja x 380;3;7200;7137
Yucarina x 300;3;8000;7930
Promasa x 500 ;26;1650;1635
Promasa x 1000;9;3100;3073
Harina pan amarilla x 1000;7;3100;3073
Harina pan amarilla x 500;11;1600;1586
Harina pan blanca x 1000;5;3100;3073
Harina pan blanca x 500;9;1600;1586
Harina pan dulce x 500;20;2750;2726
Harina Haz de oro + polvo x 500;33;2000;1982
Harina Haz de oro tradicional ;21;1600;1586
Harina de trigo Aguileña x454;17;1100;1090
Harina de trigo corona x 500;25;1400;1388
Harina de trigo la nieve x 500;17;1000;991
Pastas la Muñeca Spaggetti x 500;5;2400;2379
Pastas la Muñeca Spaggetti x 250;41;1550;1536
Pastas la Muñecax 250 ;60;1550;1536
Pastas Doria ;30;1550;1536
Spaggetti Doria x 250;50;1550;1536
Fideos Doria ;22;1950;1933
Fideos Integral ;6;3200;3172
Macarrón x 210 ;7;2700;2676
Pastas comarico x 250;250;1000;991
Coctel de Wisky ;2;31000;30727
Vino generoso ;1;22000;21806
Vino Gran Sidon ;4;19000;18833
Vino Abocado ;3;20000;19824
Vino Moscatel ;4;13000;12886
Vino Manzana ;12;12000;11894
Vino de cocina Gourmet ;3;7500;7434
Vino de cocina Gourmet Blanco ;6;7000;6938
Vino de Uva ;20;4500;4460
Vino Blanco de misa ;2;18000;17842
Vino Cherrynol;2;15000;14868
Vino Dubonet ;3;50000;49560
Brandy Noble ;1;31000;30727
Vino Blanco Monasterio ;12;2800;2775
Vino Blanco Libertador ;7;4500;4460
Cerezas en Almibar ;3;3500;3469
Cerezas en Almibar ;4;4200;4163
Cerezas en Almibar ;5;6400;6344
Cerezas en Almibar ;2;5700;5650
Aperitivo sansón ;6;15500;15364
Aperitivo Quindiano ;3;11500;11399
Champaña Cuplé ;38;10000;9912
Champaña Candiota ;28;8500;8425
Bocadillo x280;28;1300;1289
Bocadillo x 300;5;1800;1784
Bocadillo x 500;6;4000;3965
Bocadillo x 450;18;3600;3568
Bocadillo x 490;12;3900;3866
Bocadillo x 420;15;3200;3172
Bocadillo x 430;24;3100;3073
Bocadillo x 440;18;3300;3271
Panelitas Normandy ;12;3600;3568
Cocadas ;10;5500;5452
Galletas oreo x 12;13;6500;6443
Galletas Festival x 12;12;4700;4659
Galletas Festival Crema ;24;5400;5352
Galletas Festival x 18;20;6600;6542
Galletas Waffer Noel x432;9;4300;4262
Galletas Sultanas x 440;5;5800;5749
Galletas Sultanas x 220;17;3500;3469
Galletas Ducales tentación x 156;12;2850;2825
Galletas Ducales tentación x 208;5;3900;3866
Galletas Dux Integral x 250;12;2900;2874
Galletas Dux Original x 250;16;3300;3271
Galletas variedad x 220;12;2900;2874
Galleta colación x 150;24;2900;2874
Galletas Tosh ;36;4700;4659
Barquillos Piaza x 24;8;4800;4758
Gomitas Italo ;4;4200;4163
Gomitas Frutos Rojos ;12;700;694
Galletas Waffer sin azúcar ;9;2500;2478
Galletas Waffer x 80;22;1200;1189
Galletas Waffer x117;20;1700;1685
Almendra Francesa x 135;6;4600;4560
Almendra Francesa x 60;8;2000;1982
Almendra Francesa x 50;13;2300;2280
Galletas Rellenas x 6 ;7;4400;4361
Galletas Saltin semillas Cereales ;6;4900;4857
Galletas Saltin Maiz ;6;4500;4460
Galleas Saltin Noel Sodas ;6;3600;3568
Galleas Tosh x2;6;4600;4560
Galletas Muu leche ;14;1800;1784
Galletas Rondalla ;18;2400;2379
Galletas Capri ;45;2600;2577
Galletas Muu Sandwich ;24;3700;3667
Galletas Brinki;18;4000;3965
Galletas Crakeñas ;27;3000;2974
Galletas Crakeñas Doraritas ;35;3500;3469
Galletas Saltín x 4 ;12;4000;3965
Galletas Saltín x 3;40;3550;3519
Galletas Saltín x 6;60;4900;4857
Galletas Saltín queso y mantequilla ;20;4500;4460
Galletas Saltín Integral ;30;4800;4758
Galletas Ducales x 3 ;35;5300;5253
Galletas Ducales x 2;24;4300;4262
Galletas Salricas x 6 ;15;4400;4361
Galletas Doricas x 5 ;21;5200;5154
Galletas Saltinas x 5 ;5;4300;4262
Galletas Bridge Grande ;12;2200;2181
Galletas Bridge pequeño ;7;1200;1189
Galletas Fitness;6;4900;4857
Galletas Club Social ;18;3900;3866
Gomas x 450;5;4000;3965
Gomas x 90;80;1100;1090
Gomas x 478;20;4000;3965
Bombombum x 24;30;4500;4460
Yoguetas x 24;8;4000;3965
Pirulitos x 24 ;30;2400;2379
Mentas paquete x 100;17;4500;4460
Mentas chao;11;4200;4163
Mordisquetas x 24 ;20;5000;4956
Barriletes x 50;7;4500;4460
Bombon Super coco ;18;5400;5352
Confites x 100;28;3500;3469
Protectores Carefree x 15 ;12;1800;1784
Protectores Carefree x 60;6;8000;7930
Protectores Carefree x 150;5;14000;13877
Protectores Kotex x 150;11;10000;9912
Protectores Nosotras x 150;3;13000;12886
Protectores Nosotras x 120;8;9000;8921
Protectores Nosotras Respirables x 150;4;16300;16157
Protectores Nosotras Multiestilox 150;2;16500;16355
Protectores Nosotras Multiestilox 60;4;8800;8723
Protectores Nosotras Tanga x 120;1;12000;11894
Protectores Nosotras Tanga x 60;2;7500;7434
Protectores Nosotras Tanga x 15;3;2800;2775
Protectores Nosotras Largos x60;10;8200;8128
Protectores Nosotras Largos x 10;20;1800;1784
Protectores Nosotras Multiestilo x 15;6;2500;2478
Protectores Nosotras Dobles x 50 ;6;4500;4460
Toallas Nosotras Tanga x 10;6;5000;4956
Toallas Dobles Invisible ;6;4900;4857
Toallas Dobles Invisible Rapigel ;36;4000;3965
Toallas Dobles Ultra Invisible Rapigel ;12;3200;3172
Toallas Nosotas Invisible Clasica x 10;12;4000;3965
Toallas Nosotas Plus Canal Gel ;15;4000;3965
Toallas Nosotas Normal sin alas ;15;3000;2974
Toallas Nosotas Extraprotección ;7;3200;3172
Toallas Nosotas Buenas Noches ;6;10000;9912
Toallas Stayfree ;15;3000;2974
Toallas Stayfree Adapt ;20;3600;3568
Toallas Stayfree canales ;10;4600;4560
Toallas Stayfree Ultradelgadas ;12;3600;3568
Toallas Divas;21;2800;2775
Toallas Kotex;9;4400;4361
Toallas Kotex Normal;10;3500;3469
Toallas Kotex Alas;12;3500;3469
Toallas Kotex Nocturas ;9;3600;3568
Toallas Kotex Sport ;2;3800;3767
Protectores Ellas ;7;3500;3469
Toallas LadySoft ;2;2200;2181
Protectores LadySoft ;2;1800;1784
Toallas Nosotras Tanga x 10;3;9800;9714
Toallas Nosotras Invisible clásica ;3;9700;9615
Toallas Nosotras Maternas ;3;13000;12886
Toallas Tena mujer Medium ;6;8300;8227
Pañitos Pequeñín x 160;3;8300;8227
Pañitos Pequeñín Acolchamas grande;2;15000;14868
Pañitos Pequeñín Acolchamas Mediano ;4;11400;11300
Pañitos Pequeñín Acolchamas pequeño;2;6200;6145
Pañitos Pequeñín Con Aloe ;4;7000;6938
Pañitos Pequeñín Con Aloe x 100;9;9000;8921
Pañitos Pequeñín Con Aloe pequeño ;7;2800;2775
Pañitos Pequeñín Karité x 110;11;7000;6938
Pañitos Pequeñín Karité x 50;12;4000;3965
Pañitos Pequeñín Karité x 24;18;2500;2478
Pañitos Pequeñín Ristra ;25;200;198
Toallas Antibacterial ;10;2200;2181
Toallas Antibacterial x 40;9;6500;6443
Toallas Antibacterial Multiusos ;6;5400;5352
Pomuys desmaquilladores ;18;6800;6740
Toallas íntimas ;10;5000;4956
Pañitos Bambino ;20;7600;7533
Pañitos Huggies ;5;16000;15859
Pañitos Winny ;9;2400;2379
Pañitos Winny x 100;5;9500;9416
Pañal pequeñin x 5 etapa 0;5;12100;11994
Pañal pequeñin x 5 etapa 1;9;10000;9912
Pañal pequeñin x 30 etapa 5;4;15800;15661
Pañal pequeñin x 10 etapa 4;5;9500;9416
Pañal pequeñin x 10 etapa 3;12;7500;7434
Pañal pequeñin x 10 etapa 2;6;5900;5848
Pañal pequeñin x 10 etapa 1;8;5000;4956
Pañal pequeñin x 30 etapa 1;15;13500;13381
Pañal pequeñin x 30 etapa 2;8;15500;15364
Pañal pequeñin x 30 etapa 3;18;18500;18337
Pañal pequeñin x 30 etapa 4;23;23000;22798
Pañal Winny x 30 etapa 1;9;13000;12886
Pañal Winny x 30 etapa 2;13;16000;15859
Pañal Winny x 50 etapa 3;1;32000;31718
Pañal Winny x 30 etapa 3;3;19000;18833
Pañal Winny x 30 etapa 4;4;22500;22302
Pañal Winny x 30 etapa 5;10;26000;25771
Pañal Huggies etapa 1 ;8;17500;17346
Pañal Huggies etapa 4;3;21000;20815
Pañal Huggies etapa 3;5;17500;17346
Pañal Huggies x 38 etapa 2;5;18000;17842
Pañal Huggies x 30 etapa 2;4;14500;14372
Pañal Huggies x 36 etapa 5;4;14000;13877
Pañal Huggies x 30 etapa 5;12;11000;10903
Pañal Baby Sec Talla S;8;11500;11399
Pañal Baby Sec Talla G;12;17500;17346
Pañal Baby Sec Talla M;3;14000;13877
Pañal Tena Basic Talla M;13;16900;16751
Pañal Tena Basic x30 Talla L;7;18700;18535
Pañal Tena Basic x 21 Talla L;2;41500;41135
Pañal Tena Basic x 1 Talla L;6;2200;2181
Pañal Tena Basic x 1 Talla M;5;2000;1982
Champú Nutrit x 750 ;10;19000;18833
Champú Pantene x 400;8;15000;14868
Champú Embrion de pato x 300;6;10000;9912
Champú H&S x 400;28;15000;14868
Champú H&S x 200;18;9500;9416
Champú Bioexpert ;6;13000;12886
Champú Tresemé x 400;6;14000;13877
Champú Clear x 400;4;15000;14868
Champú Clear x 200;3;11000;10903
Champú Syoss;5;20000;19824
Champú Tio Nacho x 415;12;20000;19824
Champú Sedal x 340;16;11800;11696
Champú Sedal x 650;4;14300;14174
Champú Dove x 400;12;16000;15859
